allkcats1	allkcats2	allkcats3	allkcats4	allkcats5
EC1.1.1.1	1-propanol	aeropyrum pernix	0.26	brenda
EC1.1.1.1	1-propanol	saccharolobus solfataricus	2.6	brenda
EC1.1.1.1	11-cis-retinal	equus caballus	0.021	brenda
EC1.1.1.1	11-cis-retinol	equus caballus	0.022	brenda
EC1.1.1.1	12-hydroxydodecanoate	coturnix coturnix	1.45	brenda
EC1.1.1.1	12-hydroxydodecanoate	homo sapiens	4	brenda
EC1.1.1.1	12-hydroxydodecanoate	mesocricetus auratus	2.77	brenda
EC1.1.1.1	12-hydroxydodecanoate	rattus norvegicus	20	brenda
EC1.1.1.1	12-hydroxydodecanoic acid	homo sapiens	2.78333333	sabiork
EC1.1.1.1	12-hydroxylauric acid methyl ester	geobacillus stearothermophilus	27.6	brenda
EC1.1.1.1	12-oxolauric acid methyl ester	geobacillus stearothermophilus	308	brenda
EC1.1.1.1	13-cis-retinal	equus caballus	0.018	brenda
EC1.1.1.1	13-cis-retinol	equus caballus	0.018	brenda
EC1.1.1.1	16-hydroxyhexadecanoate	homo sapiens	6.17	brenda
EC1.1.1.1	2',3',4',5',6'-pentafluoroacetophenone	sulfolobus acidocaldarius	3.2	brenda
EC1.1.1.1	2,2,2-trifluoroacetophenone	sulfolobus acidocaldarius	10	brenda
EC1.1.1.1	2,2,2-trifluoroacetophenone	thermus thermophilus	25.5	brenda
EC1.1.1.1	2,2-dichloroacetophenone	sulfolobus acidocaldarius	0.65	brenda
EC1.1.1.1	2,3-butanediol	pyrococcus furiosus	2.6	brenda
EC1.1.1.1	2,3-butanediol	thermococcus kodakarensis	43.8	brenda
EC1.1.1.1	2-butanol	aeropyrum pernix	0.48	brenda
EC1.1.1.1	2-butanol	mesocricetus auratus	4.75	brenda
EC1.1.1.1	2-butanone	equus caballus	0.12	brenda
EC1.1.1.1	2-buten-1-ol	rattus norvegicus	213	brenda
EC1.1.1.1	2-decanone	aeropyrum pernix	0.4	brenda
EC1.1.1.1	2-dehydro-3-deoxy-d-gluconate	sphingomonas sp. a1	1.4	brenda
EC1.1.1.1	2-deoxy-d-ribose	homo sapiens	2.83	brenda
EC1.1.1.1	2-ethoxyethanol	saccharolobus solfataricus	1.6	brenda
EC1.1.1.1	2-heptanone	aeropyrum pernix	0.73	brenda
EC1.1.1.1	2-hexanone	aeropyrum pernix	1.08	brenda
EC1.1.1.1	2-nonanone	aeropyrum pernix	0.7	brenda
EC1.1.1.1	2-octanone	aeropyrum pernix	0.74	brenda
EC1.1.1.1	2-pentanol	aeropyrum pernix	0.6	brenda
EC1.1.1.1	2-pentanone	aeropyrum pernix	0.77	brenda
EC1.1.1.1	2-pentanone	equus caballus	0.0713	brenda
EC1.1.1.1	2-propanol	aeropyrum pernix	0.24	brenda
EC1.1.1.1	2-propanol	geobacillus stearothermophilus	287	brenda
EC1.1.1.1	2-propanol	homo sapiens	0.75	brenda
EC1.1.1.1	2-propanol	saccharolobus solfataricus	0.45	brenda
EC1.1.1.1	3,4-dihydro-retinal	homo sapiens	1.22	brenda
EC1.1.1.1	3,4-dihydro-retinol	homo sapiens	2.5	brenda
EC1.1.1.1	3-bromobenzyl alcohol	saccharolobus solfataricus	2	brenda
EC1.1.1.1	3-bromobenzylalcohol	saccharolobus solfataricus	1.2	brenda
EC1.1.1.1	3-hydroxy-2-butanone	pyrococcus furiosus	0.36	brenda
EC1.1.1.1	3-methoxybenzaldehyde	thermus thermophilus	3.1	brenda
EC1.1.1.1	3-methoxybenzyl alcohol	saccharolobus solfataricus	16	brenda
EC1.1.1.1	3-methoxybenzylalcohol	saccharolobus solfataricus	1.4	brenda
EC1.1.1.1	3-methyl-1-butanol	equus caballus	0.27	brenda
EC1.1.1.1	3-methyl-cyclohexanol	saccharolobus solfataricus	7.72	brenda
EC1.1.1.1	3-methylbutan-2-one	saccharolobus solfataricus	1.22	brenda
EC1.1.1.1	3-methylcyclohexanone	saccharolobus solfataricus	2.17	brenda
EC1.1.1.1	3-methylcyclohexanone	sulfolobus acidocaldarius	3.8	brenda
EC1.1.1.1	3-oxo-5beta-androstan-17beta-ol	equus caballus	2.05	brenda
EC1.1.1.1	3-pentanol	equus caballus	2.26	brenda
EC1.1.1.1	3-pentanol	saccharolobus solfataricus	1.5	brenda
EC1.1.1.1	3-pentanone	equus caballus	0.36	brenda
EC1.1.1.1	3-phenyl-1-propanol	homo sapiens	7.5	brenda
EC1.1.1.1	3-pyridylcarbinol	homo sapiens	0.683	brenda
EC1.1.1.1	4-bromobenzyl alcohol	saccharolobus solfataricus	3.5	brenda
EC1.1.1.1	4-bromobenzylalcohol	saccharolobus solfataricus	1.1	brenda
EC1.1.1.1	4-carboxybenzaldehyde	saccharolobus solfataricus	0.7	brenda
EC1.1.1.1	4-chloroacetophenone	rhodococcus ruber	432	brenda
EC1.1.1.1	4-hydroxy-retinol	homo sapiens	34.2	brenda
EC1.1.1.1	4-methoxybenzaldehyde	saccharolobus solfataricus	3.3	brenda
EC1.1.1.1	4-methoxybenzaldehyde	thermus thermophilus	3.1	brenda
EC1.1.1.1	4-methoxybenzyl alcohol	aeropyrum pernix	0.6	brenda
EC1.1.1.1	4-methoxybenzyl alcohol	saccharolobus solfataricus	20.5	brenda
EC1.1.1.1	4-methoxybenzyl alcohol	thermus thermophilus	1.6	brenda
EC1.1.1.1	4-methoxybenzylalcohol	saccharolobus solfataricus	1.5	brenda
EC1.1.1.1	4-methoxyphenylacetone	aeropyrum pernix	0.071	brenda
EC1.1.1.1	4-methyl-1-pentanol	equus caballus	6.7	brenda
EC1.1.1.1	4-nitrobenzaldehyde	saccharolobus solfataricus	4.6	brenda
EC1.1.1.1	4-oxo-retinal	homo sapiens	20	brenda
EC1.1.1.1	5beta-pregnan-21-ol-3,20-dione hemisuccinate	equus caballus	0.9	brenda
EC1.1.1.1	9-cis-retinal	equus caballus	0.023	brenda
EC1.1.1.1	9-cis-retinol	equus caballus	0.025	brenda
EC1.1.1.1	acetaldehyde	citrobacter sp. s-77	2.5	brenda
EC1.1.1.1	acetaldehyde	equus caballus	31.8	brenda
EC1.1.1.1	acetaldehyde	geobacillus stearothermophilus	681	brenda
EC1.1.1.1	acetaldehyde	geobacillus thermodenitrificans	404.8	brenda
EC1.1.1.1	acetaldehyde	kluyveromyces marxianus	283	brenda
EC1.1.1.1	acetaldehyde	natronomonas pharaonis	5.4	brenda
EC1.1.1.1	acetaldehyde	ogataea angusta	3500	brenda
EC1.1.1.1	acetaldehyde	parageobacillus thermoglucosidasius	350	brenda
EC1.1.1.1	acetaldehyde	saimiri sciureus	16.7	brenda
EC1.1.1.1	acetoin	thermococcus kodakarensis	13.7	brenda
EC1.1.1.1	acetone	equus caballus	0.33	brenda
EC1.1.1.1	acetone	saccharolobus solfataricus	0.317	brenda
EC1.1.1.1	acetophenone	rhodococcus ruber	288	brenda
EC1.1.1.1	all-trans retinol	mesocricetus auratus	1.9	brenda
EC1.1.1.1	all-trans-retinal	equus caballus	2.5	brenda
EC1.1.1.1	all-trans-retinal	homo sapiens	1.83	brenda
EC1.1.1.1	all-trans-retinol	equus caballus	1.55	brenda
EC1.1.1.1	all-trans-retinol	homo sapiens	0.9	brenda
EC1.1.1.1	alpha-tetralol	thermus thermophilus	48.1	brenda
EC1.1.1.1	alpha-tetralone	thermus thermophilus	7.7	brenda
EC1.1.1.1	anisaldehyde	saccharolobus solfataricus	0.983	brenda
EC1.1.1.1	benzaldehyde	aeropyrum pernix	1.22	brenda
EC1.1.1.1	benzaldehyde	equus caballus	29.5	brenda
EC1.1.1.1	benzaldehyde	saccharolobus solfataricus	11.3	brenda
EC1.1.1.1	benzaldehyde	yokenella sp.	360	brenda
EC1.1.1.1	benzil	sulfolobus acidocaldarius	1.6	brenda
EC1.1.1.1	benzyl alcohol	aeropyrum pernix	1.02	brenda
EC1.1.1.1	benzyl alcohol	coturnix coturnix	2.52	brenda
EC1.1.1.1	benzyl alcohol	equus caballus	0.78	brenda
EC1.1.1.1	benzyl alcohol	geobacillus stearothermophilus	24.9	brenda
EC1.1.1.1	benzyl alcohol	homo sapiens	9.17	brenda
EC1.1.1.1	benzyl alcohol	mesocricetus auratus	1.37	brenda
EC1.1.1.1	benzyl alcohol	moraxella sp.	6.9	brenda
EC1.1.1.1	benzyl alcohol	rattus norvegicus	89.7	brenda
EC1.1.1.1	benzyl alcohol	saccharolobus solfataricus	14.5	brenda
EC1.1.1.1	benzyl alcohol	yokenella sp.	93.3	brenda
EC1.1.1.1	benzylalcohol	saccharolobus solfataricus	1.4	brenda
EC1.1.1.1	butan-1-ol	coturnix coturnix	7.22	brenda
EC1.1.1.1	butan-1-ol	mycobacterium sp.	2	brenda
EC1.1.1.1	butan-1-ol	saccharolobus solfataricus	1.97	brenda
EC1.1.1.1	butan-2-ol	equus caballus	11.9	brenda
EC1.1.1.1	butan-2-ol	saccharolobus solfataricus	3.55	brenda
EC1.1.1.1	butan-2-one	saccharolobus solfataricus	1.93	brenda
EC1.1.1.1	butanal	mycobacterium sp.	102	brenda
EC1.1.1.1	butanal	saccharomyces cerevisiae	1.99	brenda
EC1.1.1.1	butanol	alligator mississippiensis	1.1	brenda
EC1.1.1.1	butanol	equus caballus	118	brenda
EC1.1.1.1	butanol	homo sapiens	34.8	brenda
EC1.1.1.1	butanol	saimiri sciureus	0.45	brenda
EC1.1.1.1	butyl alcohol	equus caballus	0.94	brenda
EC1.1.1.1	butyraldehyde	equus caballus	35.4	brenda
EC1.1.1.1	butyraldehyde	geobacillus stearothermophilus	931	brenda
EC1.1.1.1	capronaldehyde	rhodococcus ruber	576	brenda
EC1.1.1.1	cinnamaldehyde	geobacillus stearothermophilus	55	brenda
EC1.1.1.1	cinnamyl alcohol	equus caballus	133	brenda
EC1.1.1.1	cinnamyl alcohol	geobacillus stearothermophilus	43	brenda
EC1.1.1.1	cis-decahydro-1-naphthol	sulfolobus acidocaldarius	0.98	brenda
EC1.1.1.1	cycloheptanol	sulfolobus acidocaldarius	7	brenda
EC1.1.1.1	cyclohexanol	aeropyrum pernix	0.52	brenda
EC1.1.1.1	cyclohexanol	alligator mississippiensis	0.167	brenda
EC1.1.1.1	cyclohexanol	coturnix coturnix	3.55	brenda
EC1.1.1.1	cyclohexanol	homo sapiens	0.583	brenda
EC1.1.1.1	cyclohexanol	mesocricetus auratus	8.5	brenda
EC1.1.1.1	cyclohexanol	rattus norvegicus	1.75	brenda
EC1.1.1.1	cyclohexanol	saccharolobus solfataricus	1.2	brenda
EC1.1.1.1	cyclohexanone	aeropyrum pernix	1.27	brenda
EC1.1.1.1	cyclohexanone	equus caballus	5.9	brenda
EC1.1.1.1	cyclopentanone	saccharolobus solfataricus	1.02	brenda
EC1.1.1.1	d-allonate	sphingomonas sp. a1	0.18	brenda
EC1.1.1.1	d-altronate	sphingomonas sp. a1	0.19	brenda
EC1.1.1.1	d-arabitol	sphingomonas sp. a1	0.0019	brenda
EC1.1.1.1	d-gluconate	sphingomonas sp. a1	0.98	brenda
EC1.1.1.1	d-mannonate	sphingomonas sp. a1	0.53	brenda
EC1.1.1.1	d-ribonate	sphingomonas sp. a1	0.0052	brenda
EC1.1.1.1	d-sorbitol	sphingomonas sp. a1	0.0052	brenda
EC1.1.1.1	d-talonate	sphingomonas sp. a1	0.021	brenda
EC1.1.1.1	d-xylonate	sphingomonas sp. a1	0.032	brenda
EC1.1.1.1	ethanol	aeropyrum pernix	0.23	brenda
EC1.1.1.1	ethanol	alligator mississippiensis	0.467	brenda
EC1.1.1.1	ethanol	citrobacter sp. s-77	3.2	brenda
EC1.1.1.1	ethanol	coturnix coturnix	6.63	brenda
EC1.1.1.1	ethanol	equus caballus	308	brenda
EC1.1.1.1	ethanol	flavobacterium frigidimaris	474.9	brenda
EC1.1.1.1	ethanol	geobacillus stearothermophilus	305	brenda
EC1.1.1.1	ethanol	geobacillus thermodenitrificans	638.7	brenda
EC1.1.1.1	ethanol	homo sapiens	30.7	brenda
EC1.1.1.1	ethanol	kluyveromyces marxianus	158	brenda
EC1.1.1.1	ethanol	mesocricetus auratus	9.58	brenda
EC1.1.1.1	ethanol	mus musculus	215	brenda
EC1.1.1.1	ethanol	natronomonas pharaonis	8.2	brenda
EC1.1.1.1	ethanol	ogataea angusta	3000	brenda
EC1.1.1.1	ethanol	picrophilus torridus	0.00086	brenda
EC1.1.1.1	ethanol	rattus norvegicus	62.7	brenda
EC1.1.1.1	ethanol	saccharolobus solfataricus	3.1	brenda
EC1.1.1.1	ethanol	saccharomyces cerevisiae	895.4	brenda
EC1.1.1.1	ethanol	saimiri sciureus	0.567	brenda
EC1.1.1.1	ethyl 3-methyl-2-oxobutyrate	sulfolobus acidocaldarius	26	brenda
EC1.1.1.1	ethyl benzoylformate	sulfolobus acidocaldarius	2.35	brenda
EC1.1.1.1	ethyl benzoylformate	thermus thermophilus	50.1	brenda
EC1.1.1.1	ethyl oxo(phenyl)acetate	thermus thermophilus	50.1	brenda
EC1.1.1.1	ethyl pyruvate	carboxydothermus hydrogenoformans	3.97	brenda
EC1.1.1.1	ethylene glycol	homo sapiens	0.75	brenda
EC1.1.1.1	ethylene glycol	pseudomonas aeruginosa	4.5	brenda
EC1.1.1.1	formaldehyde	saccharomyces cerevisiae	1.28	brenda
EC1.1.1.1	furfural	saccharomyces cerevisiae	1.58	brenda
EC1.1.1.1	glutaraldehyde	pyrobaculum calidifontis	93.13	brenda
EC1.1.1.1	glycolaldehyde	saccharomyces cerevisiae	18.65	brenda
EC1.1.1.1	hexaldehyde	equus caballus	56.6	brenda
EC1.1.1.1	hexanol	alligator mississippiensis	0.167	brenda
EC1.1.1.1	hexanol	equus caballus	29.6	brenda
EC1.1.1.1	hexanol	homo sapiens	19.5	brenda
EC1.1.1.1	hexanol	mus musculus	86.5	brenda
EC1.1.1.1	hexyl alcohol	equus caballus	0.99	brenda
EC1.1.1.1	isatin	sulfolobus acidocaldarius	22	brenda
EC1.1.1.1	isoborneol	sulfolobus acidocaldarius	16.6	brenda
EC1.1.1.1	isobutyraldehyde	saccharolobus solfataricus	29	brenda
EC1.1.1.1	isopropanol	equus caballus	0.58	brenda
EC1.1.1.1	methanol	alligator mississippiensis	0.05	brenda
EC1.1.1.1	methanol	homo sapiens	0.136666667	sabiork
EC1.1.1.1	methanol	saccharolobus solfataricus	3.1	brenda
EC1.1.1.1	methanol	saimiri sciureus	0.217	brenda
EC1.1.1.1	methyl benzoylformate	sulfolobus acidocaldarius	6.2	brenda
EC1.1.1.1	methyl o-chlorobenzoylformate	sulfolobus acidocaldarius	9.2	brenda
EC1.1.1.1	methyl oxo(phenyl)acetate	thermus thermophilus	38.1	brenda
EC1.1.1.1	methylbenzoylformate	thermus thermophilus	38.1	brenda
EC1.1.1.1	methylcrotonyl alcohol	mesocricetus auratus	8.58	brenda
EC1.1.1.1	n-butanol	geobacillus stearothermophilus	195	brenda
EC1.1.1.1	n-butanol	mesocricetus auratus	7.18	brenda
EC1.1.1.1	n-hexanol	mesocricetus auratus	4.08	brenda
EC1.1.1.1	nad+	aeropyrum pernix	0.4	brenda
EC1.1.1.1	nad+	coturnix coturnix	6.18	brenda
EC1.1.1.1	nad+	geobacillus stearothermophilus	34.2	brenda
EC1.1.1.1	nad+	geobacillus thermodenitrificans	443.1	brenda
EC1.1.1.1	nad+	homo sapiens	6.33333333	sabiork
EC1.1.1.1	nad+	mesocricetus auratus	7.75	brenda
EC1.1.1.1	nad+	mycobacterium sp.	1	brenda
EC1.1.1.1	nad+	pyrococcus furiosus	2.6	brenda
EC1.1.1.1	nad+	saccharolobus solfataricus	18.5	brenda
EC1.1.1.1	nad+	sulfolobus acidocaldarius	19.3	brenda
EC1.1.1.1	nad+	thermococcus kodakarensis	30.8	brenda
EC1.1.1.1	nad+	thermus thermophilus	0.84	brenda
EC1.1.1.1	nadh	aeropyrum pernix	0.41	brenda
EC1.1.1.1	nadh	coturnix coturnix	8.88	brenda
EC1.1.1.1	nadh	geobacillus stearothermophilus	326	brenda
EC1.1.1.1	nadh	geobacillus thermodenitrificans	1646	brenda
EC1.1.1.1	nadh	mycobacterium sp.	153	brenda
EC1.1.1.1	nadh	pyrococcus furiosus	0.36	brenda
EC1.1.1.1	nadh	saccharolobus solfataricus	10.3	brenda
EC1.1.1.1	nadh	sulfolobus acidocaldarius	26.2	brenda
EC1.1.1.1	nadh	thermococcus kodakarensis	17.3	brenda
EC1.1.1.1	nadh	thermus thermophilus	52.4	brenda
EC1.1.1.1	nadp+	geobacillus thermodenitrificans	283.1	brenda
EC1.1.1.1	nadp+	pyrococcus furiosus	0.073	brenda
EC1.1.1.1	nadp+	thermococcus kodakarensis	30	brenda
EC1.1.1.1	nadp+	yokenella sp.	194	brenda
EC1.1.1.1	nadph	geobacillus thermodenitrificans	4808	brenda
EC1.1.1.1	nadph	pyrococcus furiosus	0.2	brenda
EC1.1.1.1	nadph	yokenella sp.	433	brenda
EC1.1.1.1	octan-1-ol	coturnix coturnix	1.85	brenda
EC1.1.1.1	octanal	coturnix coturnix	17	brenda
EC1.1.1.1	octanal	geobacillus thermodenitrificans	518.4	brenda
EC1.1.1.1	octanal	homo sapiens	3.33	brenda
EC1.1.1.1	octanol	alligator mississippiensis	0.15	brenda
EC1.1.1.1	octanol	homo sapiens	8.33	brenda
EC1.1.1.1	octanol	scyliorhinus canicula	3.17	brenda
EC1.1.1.1	p-nitrophenyl octanoate	equus caballus	0.24	brenda
EC1.1.1.1	pentan-1-ol	coturnix coturnix	2.92	brenda
EC1.1.1.1	pentan-3-ol	saccharolobus solfataricus	2.92	brenda
EC1.1.1.1	pentan2-ol	saccharolobus solfataricus	3.82	brenda
EC1.1.1.1	pentanol	equus caballus	56.2	brenda
EC1.1.1.1	pentanol	homo sapiens	16	brenda
EC1.1.1.1	pentanol	saimiri sciureus	0.333	brenda
EC1.1.1.1	phenylacetaldehyde	rhodococcus ruber	303	brenda
EC1.1.1.1	propan-1-ol	saccharolobus solfataricus	4.03	brenda
EC1.1.1.1	propan-2-ol	equus caballus	53.1	brenda
EC1.1.1.1	propan-2-ol	saccharolobus solfataricus	6.92	brenda
EC1.1.1.1	propanal	saccharomyces cerevisiae	0.73	brenda
EC1.1.1.1	propanol	homo sapiens	17.2	brenda
EC1.1.1.1	propionaldehyde	equus caballus	41.9	brenda
EC1.1.1.1	propyl alcohol	equus caballus	1.17	brenda
EC1.1.1.1	retinol	homo sapiens	0.11	brenda
EC1.1.1.1	tert-butyl acetoacetate	aeropyrum pernix	0.072	brenda
EC1.1.1.1	tetralin-1-ol	sulfolobus acidocaldarius	9.6	brenda
EC1.1.1.1	trans-cinnamaldehyde	saccharolobus solfataricus	2.1	brenda
EC1.1.1.1	tryptophol	homo sapiens	1.83	brenda
EC1.1.1.1	valeraldehyde	rhodococcus ruber	528	brenda
EC1.1.1.1	vanillyl alcohol	homo sapiens	8.67	brenda
EC1.1.1.10	acetoin	cavia porcellus	6.9	brenda
EC1.1.1.10	acetoin	homo sapiens	0.65	brenda
EC1.1.1.10	acetoin	mesocricetus auratus	6.9	brenda
EC1.1.1.10	acetoin	mus musculus	3	brenda
EC1.1.1.10	acetoin	rattus norvegicus	6.9	brenda
EC1.1.1.10	d-erythrose	caenorhabditis elegans	1.8	brenda
EC1.1.1.10	d-erythrose	cavia porcellus	2	brenda
EC1.1.1.10	d-erythrose	homo sapiens	0.43	brenda
EC1.1.1.10	d-erythrose	mesocricetus auratus	23	brenda
EC1.1.1.10	d-erythrose	mus musculus	18	brenda
EC1.1.1.10	d-erythrose	rattus norvegicus	18	brenda
EC1.1.1.10	d-ribulose	cavia porcellus	7.8	brenda
EC1.1.1.10	d-ribulose	homo sapiens	0.52	brenda
EC1.1.1.10	d-ribulose	mesocricetus auratus	31	brenda
EC1.1.1.10	d-ribulose	mus musculus	26	brenda
EC1.1.1.10	d-ribulose	neurospora crassa	119	brenda
EC1.1.1.10	d-ribulose	rattus norvegicus	19	brenda
EC1.1.1.10	d-ribulose	trichoderma reesei	8.24	brenda
EC1.1.1.10	d-sorbitol	trichoderma reesei	1.8	brenda
EC1.1.1.10	d-threitol	cavia porcellus	15	brenda
EC1.1.1.10	d-threitol	homo sapiens	0.48	brenda
EC1.1.1.10	d-threitol	mesocricetus auratus	16	brenda
EC1.1.1.10	d-threitol	mus musculus	16	brenda
EC1.1.1.10	d-threitol	rattus norvegicus	12	brenda
EC1.1.1.10	d-threose	caenorhabditis elegans	2.32	brenda
EC1.1.1.10	d-threose	cavia porcellus	32	brenda
EC1.1.1.10	d-threose	homo sapiens	0.82	brenda
EC1.1.1.10	d-threose	mesocricetus auratus	31	brenda
EC1.1.1.10	d-threose	mus musculus	23	brenda
EC1.1.1.10	d-threose	rattus norvegicus	2	brenda
EC1.1.1.10	d-xylulose	caenorhabditis elegans	1.22	brenda
EC1.1.1.10	d-xylulose	cavia porcellus	19	brenda
EC1.1.1.10	d-xylulose	homo sapiens	0.1	brenda
EC1.1.1.10	d-xylulose	mesocricetus auratus	6.9	brenda
EC1.1.1.10	d-xylulose	mus musculus	7.4	brenda
EC1.1.1.10	d-xylulose	rattus norvegicus	18	brenda
EC1.1.1.10	diacetyl	cavia porcellus	24	brenda
EC1.1.1.10	diacetyl	homo sapiens	1.6	brenda
EC1.1.1.10	diacetyl	mesocricetus auratus	30	brenda
EC1.1.1.10	diacetyl	mus musculus	41	brenda
EC1.1.1.10	diacetyl	rattus norvegicus	25	brenda
EC1.1.1.10	dihydroxyacetone	cavia porcellus	3.8	brenda
EC1.1.1.10	dihydroxyacetone	homo sapiens	0.23	brenda
EC1.1.1.10	dihydroxyacetone	mesocricetus auratus	8.7	brenda
EC1.1.1.10	dihydroxyacetone	mus musculus	3.3	brenda
EC1.1.1.10	dihydroxyacetone	rattus norvegicus	5.1	brenda
EC1.1.1.10	dl-glyceraldehyde	cavia porcellus	20	brenda
EC1.1.1.10	dl-glyceraldehyde	homo sapiens	0.52	brenda
EC1.1.1.10	dl-glyceraldehyde	mesocricetus auratus	22	brenda
EC1.1.1.10	dl-glyceraldehyde	mus musculus	24	brenda
EC1.1.1.10	dl-glyceraldehyde	rattus norvegicus	21	brenda
EC1.1.1.10	l-erythrulose	caenorhabditis elegans	3.32	brenda
EC1.1.1.10	l-erythrulose	cavia porcellus	24	brenda
EC1.1.1.10	l-erythrulose	homo sapiens	0.6	brenda
EC1.1.1.10	l-erythrulose	mesocricetus auratus	25	brenda
EC1.1.1.10	l-erythrulose	mus musculus	23	brenda
EC1.1.1.10	l-erythrulose	rattus norvegicus	25	brenda
EC1.1.1.10	l-ribulose	caenorhabditis elegans	0.49	brenda
EC1.1.1.10	l-threose	cavia porcellus	27	brenda
EC1.1.1.10	l-threose	homo sapiens	0.52	brenda
EC1.1.1.10	l-threose	mesocricetus auratus	23	brenda
EC1.1.1.10	l-threose	mus musculus	16	brenda
EC1.1.1.10	l-threose	rattus norvegicus	16	brenda
EC1.1.1.10	l-xylulose	caenorhabditis elegans	4.98	brenda
EC1.1.1.10	l-xylulose	cavia porcellus	37	brenda
EC1.1.1.10	l-xylulose	homo sapiens	0.65	brenda
EC1.1.1.10	l-xylulose	mesocricetus auratus	3	brenda
EC1.1.1.10	l-xylulose	mus musculus	37	brenda
EC1.1.1.10	l-xylulose	rattus norvegicus	39	brenda
EC1.1.1.10	l-xylulose	trichoderma reesei	11.4	brenda
EC1.1.1.10	nad+	homo sapiens	1.5	brenda
EC1.1.1.10	nad+	mesocricetus auratus	44	brenda
EC1.1.1.10	nad+	mus musculus	55	brenda
EC1.1.1.10	nad+	rattus norvegicus	41	brenda
EC1.1.1.10	nadh	cavia porcellus	76	brenda
EC1.1.1.10	nadh	homo sapiens	3.8	brenda
EC1.1.1.10	nadh	mesocricetus auratus	2	brenda
EC1.1.1.10	nadh	mus musculus	41	brenda
EC1.1.1.10	nadh	rattus norvegicus	23	brenda
EC1.1.1.10	nadp+	cavia porcellus	23	brenda
EC1.1.1.10	nadp+	homo sapiens	0.65	brenda
EC1.1.1.10	nadp+	mesocricetus auratus	26	brenda
EC1.1.1.10	nadp+	mus musculus	15	brenda
EC1.1.1.10	nadp+	rattus norvegicus	10	brenda
EC1.1.1.10	nadph	cavia porcellus	26	brenda
EC1.1.1.10	nadph	homo sapiens	1.5	brenda
