Stains	Major clade	Biomass_Phenotype
Hanseniaspora_uvarum	Saccharomycodaceae	Normal
Hanseniaspora_valbyensis	Saccharomycodaceae	Normal
Hanseniaspora_vinae	Saccharomycodaceae	Normal
Hyphopichia_burtonii	CUG-Ser1	Lipid
Kazachstania_africana	Saccharomycetaceae	Normal
Kazachstania_naganishii	Saccharomycetaceae	Normal
Kluyveromyces_lactis	Saccharomycetaceae	Normal
Kluyveromyces_marxianus	Saccharomycetaceae	Lipid
Komagataella_pastoris	Pichiaceae	Normal
Kuraishia_capsulata	Pichiaceae	Normal
Lachancea_cidri	Saccharomycetaceae	Normal
Lachancea_dasiensis	Saccharomycetaceae	Normal
Lachancea_fantastica	Saccharomycetaceae	Normal
Lachancea_fermentati	Saccharomycetaceae	Normal
Lachancea_kluyveri	Saccharomycetaceae	Normal
Lachancea_lanzarotensis	Saccharomycetaceae	Normal
Lachancea_meyersii	Saccharomycetaceae	Normal
Lachancea_mirantina	Saccharomycetaceae	Normal
Lachancea_nothofagi	Saccharomycetaceae	Normal
Lachancea_quebecensis	Saccharomycetaceae	Normal
Lachancea_thermotolerans	Saccharomycetaceae	Normal
Lachancea_waltii	Saccharomycetaceae	Normal
Lipomyces_starkeyi	Lipomycetaceae	Lipid
Lodderomyces_elongisporus	CUG-Ser1	Normal
Metschnikowia_aberdeeniae	CUG-Ser1	Normal
Metschnikowia_arizonensis	CUG-Ser1	Normal
Metschnikowia_bicuspidata	CUG-Ser1	Pathogen
Metschnikowia_borealis	CUG-Ser1	Normal
Metschnikowia_bowlesiae	CUG-Ser1	Normal
Metschnikowia_cerradonensis	CUG-Ser1	Normal
Metschnikowia_continentalis	CUG-Ser1	Normal
Metschnikowia_dekortum	CUG-Ser1	Normal
Metschnikowia_drakensbergensis	CUG-Ser1	Normal
Metschnikowia_hamakuensis	CUG-Ser1	Normal
Metschnikowia_hawaiiensis	CUG-Ser1	Normal
Metschnikowia_hibisci	CUG-Ser1	Normal
Metschnikowia_ipomoeae	CUG-Ser1	Normal
Metschnikowia_kamakouana	CUG-Ser1	Normal
Metschnikowia_kipukae	CUG-Ser1	Normal
Metschnikowia_lockheadii	CUG-Ser1	Normal
Metschnikowia_matae	CUG-Ser1	Normal
Metschnikowia_matae_maris	CUG-Ser1	Normal
Metschnikowia_mauinuiana	CUG-Ser1	Normal
Metschnikowia_proteae	CUG-Ser1	Normal
Metschnikowia_santaceciliae	CUG-Ser1	Normal
Metschnikowia_shivogae	CUG-Ser1	Normal
Metschnikowia_similis	CUG-Ser1	Normal
Meyerozyma_guilliermondii	CUG-Ser1	Lipid
Millerozyma_acaciae	CUG-Ser1	Normal
Nadsonia_fulvescens_var_elongata	Dipodascaceae/Trichomonascaceae	Normal
Nakaseomyces_bacillisporus	Saccharomycetaceae	Normal
Nakaseomyces_bracarensis	Saccharomycetaceae	Pathogen
Nakaseomyces_castellii	Saccharomycetaceae	Normal
Nakaseomyces_delphensis	Saccharomycetaceae	Normal
Nakaseomyces_nivariensis	Saccharomycetaceae	Pathogen
Nakazawaea_peltata	CUG-Ala	Normal
Naumovozyma_castellii	Saccharomycetaceae	Normal
Naumovozyma_dairenensis	Saccharomycetaceae	Normal
Neurospora_crassa	Ascomycota	Normal
Ogataea_methanolica	Pichiaceae	Normal
Ogataea_parapolymorpha	Pichiaceae	Normal
Ogataea_polymorpha	Pichiaceae	Heat
Pachysolen_tannophilus	CUG-Ala	Normal
Pichia_membranifaciens	Pichiaceae	Lipid
Priceomyces_haplophilus	CUG-Ser1	Normal
Saccharomyces_arboricola	Saccharomycetaceae	Normal
Saccharomyces_cerevisiae	Saccharomycetaceae	Normal
Saccharomyces_eubayanus	Saccharomycetaceae	Normal
Saccharomyces_kudriavzevii	Saccharomycetaceae	Normal
Saccharomyces_mikatae	Saccharomycetaceae	Normal
Saccharomyces_paradoxus	Saccharomycetaceae	Normal
Saccharomyces_uvarum	Saccharomycetaceae	Normal
Saccharomycopsis_malanga	CUG-Ser2	Normal
Saitoella_complicata	Ascomycota	Normal
Saprochaete_clavata	Dipodascaceae/Trichomonascaceae	Heat
Scheffersomyces_lignosus	CUG-Ser1	Normal
Scheffersomyces_stipitis	CUG-Ser1	Normal
Schizosaccharomyces_pombe	Ascomycota	Normal
Sclerotinia_sclerotiorum	Ascomycota	Normal
Spathaspora_arborariae	CUG-Ser1	Normal
Spathaspora_girioi	CUG-Ser1	Normal
Spathaspora_gorwiae	CUG-Ser1	Normal
Spathaspora_hagerdaliae	CUG-Ser1	Normal
Spathaspora_passalidarum	CUG-Ser1	Normal
Sporopachydermia_quercuum	Sporopachydermia	Normal
Stagonospora_nodorum	Ascomycota	Normal
Starmerella_bombicola_JCM9596	Dipodascaceae/Trichomonascaceae	Normal
Sugiyamaella_lignohabitans	Dipodascaceae/Trichomonascaceae	Normal
Tetrapisispora_blattae	Saccharomycetaceae	Normal
Tetrapisispora_phaffii	Saccharomycetaceae	Normal
Tortispora_caseinolytica	Trigonopsidaceae	Normal
Torulaspora_delbrueckii	Saccharomycetaceae	Normal
Vanderwaltozyma_polyspora	Saccharomycetaceae	Normal
Wickerhamia_fluorescens	CUG-Ser1	Normal
Wickerhamiella_domercqiae	Dipodascaceae/Trichomonascaceae	Lipid
Wickerhamomyces_anomalus	Phaffomycetaceae	Lipid
Wickerhamomyces_ciferrii	Phaffomycetaceae	Normal
Xylona_heveae	Ascomycota	Normal
Yarrowia_deformans	Dipodascaceae/Trichomonascaceae	Normal
Yarrowia_keelungensis	Dipodascaceae/Trichomonascaceae	Normal
Yarrowia_lipolytica	Dipodascaceae/Trichomonascaceae	Lipid
Zygosaccharomyces_bailii	Saccharomycetaceae	Normal
Zygosaccharomyces_rouxii	Saccharomycetaceae	Normal
yHAB132_Kazachstania_martiniae	Saccharomycetaceae	Normal
yHAB133_Kazachstania_unispora	Saccharomycetaceae	Lipid
yHAB134_Kazachstania_turicensis	Saccharomycetaceae	Normal
yHAB136_Kazachstania_bromeliacearum	Saccharomycetaceae	Normal
yHAB143_Kazachstania_siamensis	Saccharomycetaceae	Heat
yHAB147_Kazachstania_taianensis	Saccharomycetaceae	Normal
yHAB148_Kazachstania_intestinalis	Saccharomycetaceae	Normal
yHAB153_Kazachstania_rosinii	Saccharomycetaceae	Normal
yHAB154_Kazachstania_transvaalensis	Saccharomycetaceae	Normal
yHAB155_Kazachstania_spencerorum	Saccharomycetaceae	Normal
yHAB158_Kazachstania_viticola	Saccharomycetaceae	Normal
yHAB159_Kazachstania_solicola	Saccharomycetaceae	Normal
yHAB160_Kazachstania_kunashirensis	Saccharomycetaceae	Normal
yHAB164_Kazachstania_aerobia	Saccharomycetaceae	Normal
yHAB166_Kazachstania_yakushimaensis	Saccharomycetaceae	Normal
yHMPu5000026124_Ogataea_henricii	Pichiaceae	Normal
yHMPu5000026137_Ambrosiozyma_ambrosiae	Pichiaceae	Normal
yHMPu5000026142_Citeromyces_matritensis	Pichiaceae	Normal
yHMPu5000026145_Ambrosiozyma_vanderkliftii	Pichiaceae	Normal
yHMPu5000026152_Torulaspora_franciscae	Saccharomycetaceae	Normal
yHMPu5000026197_Brettanomyces_custersianus	Pichiaceae	Normal
yHMPu5000026256_Zygotorulaspora_mrakii	Saccharomycetaceae	Normal
yHMPu5000026274_Komagataella_populi	Pichiaceae	Normal
yHMPu5000034594_Starmera_quercuum	Phaffomycetaceae	Normal
yHMPu5000034597_Candida_stellimalicola	Phaffomycetaceae	Normal
yHMPu5000034604_Sporopachydermia_lactativora	Sporopachydermia	Normal
yHMPu5000034605_Spencermartinsiella_europaea	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034606_Priceomyces_medius	CUG-Ser1	Normal
yHMPu5000034607_Saccharomycopsis_capsularis	CUG-Ser2	Normal
yHMPu5000034610_Saturnispora_hagleri	Pichiaceae	Normal
yHMPu5000034611_Saturnispora_mendoncae	Pichiaceae	Normal
yHMPu5000034612_Saturnispora_saitoi	Pichiaceae	Normal
yHMPu5000034613_Saturnispora_serradocipensis	Pichiaceae	Normal
yHMPu5000034614_Saturnispora_silvae	Pichiaceae	Normal
yHMPu5000034615_Saturnispora_zaruensis	Pichiaceae	Normal
yHMPu5000034622_Pichia_occidentalis	Pichiaceae	Lipid
yHMPu5000034623_Pichia_norvegensis	Pichiaceae	Normal
yHMPu5000034624_Pichia_nakasei	Pichiaceae	Normal
yHMPu5000034625_Pichia_kudriavzevii	Pichiaceae	Lipid
yHMPu5000034627_Pichia_heedii	Pichiaceae	Normal
yHMPu5000034629_Pichia_exigua	Pichiaceae	Normal
yHMPu5000034631_Martiniozyma_abiesophila	Pichiaceae	Normal
yHMPu5000034632_Candida_athensensis	CUG-Ser1	Normal
yHMPu5000034635_Nadsonia_fulvescens	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034636_Ogataea_nitratoaversa	Pichiaceae	Normal
yHMPu5000034637_Ogataea_populiabae	Pichiaceae	Normal
yHMPu5000034643_Candida_schatavii	CUG-Ser1	Normal
yHMPu5000034646_Wickerhamiella_cacticola	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034648_Candida_restingae	CUG-Ser1	Normal
yHMPu5000034654_Aciculoconidium_aculeatum	CUG-Ser1	Normal
yHMPu5000034655_Botryozyma_nematodophila	Trigonopsidaceae	Normal
yHMPu5000034660_Diddensiella_caesifluorescens	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034661_Dipodascus_albidus	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034665_Kodamaea_laetipori	CUG-Ser1	Normal
yHMPu5000034667_Blastobotrys_serpentis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034669_Blastobotrys_raffinofermentans	Dipodascaceae/Trichomonascaceae	Lipid
yHMPu5000034670_Blastobotrys_proliferans	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034671_Blastobotrys_peoriensis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034673_Blastobotrys_nivea	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034674_Blastobotrys_muscicola	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034675_Blastobotrys_mokoenaii	Dipodascaceae/Trichomonascaceae	Heat
yHMPu5000034681_Blastobotrys_americana	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034709_Kluyveromyces_aestuarii	Saccharomycetaceae	Normal
yHMPu5000034710_Kluyveromyces_dobzhanskii	Saccharomycetaceae	Normal
yHMPu5000034742_Lipomyces_suomiensis	Lipomycetaceae	Normal
yHMPu5000034748_Lipomyces_oligophaga	Lipomycetaceae	Lipid
yHMPu5000034749_Lipomyces_mesembrius	Lipomycetaceae	Lipid
yHMPu5000034754_Lipomyces_arxii	Lipomycetaceae	Lipid
yHMPu5000034757_Lipomyces_doorenjongii	Lipomycetaceae	Lipid
yHMPu5000034758_Lipomyces_japonicus	Lipomycetaceae	Lipid
yHMPu5000034760_Lipomyces_kononenkoae	Lipomycetaceae	Lipid
yHMPu5000034761_Lipomyces_lipofer	Lipomycetaceae	Lipid
yHMPu5000034862_Zygotorulaspora_florentina	Saccharomycetaceae	Lipid
yHMPu5000034865_Zygosaccharomyces_kombuchaensis	Saccharomycetaceae	Normal
yHMPu5000034866_Zygosaccharomyces_bisporus	Saccharomycetaceae	Normal
yHMPu5000034875_Tetrapisispora_fleetii	Saccharomycetaceae	Normal
yHMPu5000034876_Tetrapisispora_iriomotensis	Saccharomycetaceae	Normal
yHMPu5000034877_Tetrapisispora_namnaonensis	Saccharomycetaceae	Normal
yHMPu5000034881_Torulaspora_pretoriensis	Saccharomycetaceae	Normal
yHMPu5000034883_Peterozyma_xylosa	CUG-Ala	Normal
yHMPu5000034884_Peterozyma_toletana	CUG-Ala	Normal
yHMPu5000034885_Ogataea_zsoltii	Pichiaceae	Heat
yHMPu5000034886_Ogataea_trehalophila	Pichiaceae	Normal
yHMPu5000034887_Ogataea_trehaloabstinens	Pichiaceae	Normal
yHMPu5000034890_Ogataea_ramenticola	Pichiaceae	Normal
yHMPu5000034891_Ogataea_pini	Pichiaceae	Normal
yHMPu5000034892_Ogataea_pilisensis	Pichiaceae	Normal
yHMPu5000034893_Ogataea_philodendra	Pichiaceae	Normal
yHMPu5000034897_Ogataea_glucozyma	Pichiaceae	Normal
yHMPu5000034899_Ogataea_kodamae	Pichiaceae	Normal
yHMPu5000034901_Ogataea_methylivora	Pichiaceae	Normal
yHMPu5000034902_Ogataea_minuta	Pichiaceae	Normal
yHMPu5000034903_Ogataea_naganishii	Pichiaceae	Normal
yHMPu5000034904_Ogataea_nonfermentans	Pichiaceae	Normal
yHMPu5000034918_Nakazawaea_holstii	CUG-Ala	Normal
yHMPu5000034932_Kuraishia_ogatae	Pichiaceae	Normal
yHMPu5000034933_Kuraishia_molischiana	Pichiaceae	Heat
yHMPu5000034939_Komagataella_pseudopastoris	Pichiaceae	Normal
yHMPu5000034946_Ambrosiozyma_oregonensis	Pichiaceae	Normal
yHMPu5000034947_Ambrosiozyma_philentoma	Pichiaceae	Normal
yHMPu5000034950_Citeromyces_hawaiiensis	Pichiaceae	Normal
yHMPu5000034952_Citeromyces_siamensis	Pichiaceae	Normal
yHMPu5000034957_Hanseniaspora_osmophila	Saccharomycodaceae	Normal
yHMPu5000034963_Hanseniaspora_clermontiae	Saccharomycodaceae	Normal
yHMPu5000034967_Candida_freyschussii	Phaffomycetaceae	Lipid
yHMPu5000034973_Danielozyma_ontarioensis	CUG-Ser1	Normal
yHMPu5000034974_Deakozyma_indianensis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000034978_Cyberlindnera_mrakii	Phaffomycetaceae	Normal
yHMPu5000034979_Cyberlindnera_misumaiensis	Phaffomycetaceae	Normal
yHMPu5000034986_Candida_oregonensis	CUG-Ser1	Normal
yHMPu5000034988_Candida_fructus	CUG-Ser1	Pathogen
yHMPu5000034990_Candida_corydali	CUG-Ser1	Normal
yHMPu5000034998_Cephaloascus_albidus	CUG-Ser1	Normal
yHMPu5000034999_Cephaloascus_fragrans	CUG-Ser1	Normal
yHMPu5000035011_Candida_pyralidae	CUG-Ser1	Normal
yHMPu5000035018_Candida_canberraensis	CUG-Ser1	Normal
yHMPu5000035022_Candida_emberorum	CUG-Ser1	Normal
yHMPu5000035031_Candida_kruisii	CUG-Ser1	Normal
yHMPu5000035032_Candida_gatunensis	CUG-Ser1	Normal
yHMPu5000035033_Candida_cretensis	CUG-Ser1	Normal
yHMPu5000035037_Candida_montana	Phaffomycetaceae	Normal
yHMPu5000035040_Ambrosiozyma_maleeae	Pichiaceae	Normal
yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii	Pichiaceae	Normal
yHMPu5000035044_Barnettozyma_californica	Phaffomycetaceae	Normal
yHMPu5000035045_Barnettozyma_hawaiiensis	Phaffomycetaceae	Normal
yHMPu5000035046_Barnettozyma_populi	Phaffomycetaceae	Normal
yHMPu5000035047_Barnettozyma_pratensis	Phaffomycetaceae	Normal
yHMPu5000035048_Barnettozyma_salicaria	Phaffomycetaceae	Normal
yHMPu5000035242_Zygoascus_ofunaensis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035243_Zygoascus_meyerae	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035244_Candida_incommunis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035252_Yamadazyma_nakazawae	CUG-Ser1	Normal
yHMPu5000035261_Candida_ponderosae	Phaffomycetaceae	Normal
yHMPu5000035268_Wickerhamomyces_hampshirensis	Phaffomycetaceae	Normal
yHMPu5000035271_Wickerhamomyces_bovis	Phaffomycetaceae	Normal
yHMPu5000035274_Wickerhamomyces_alni	Phaffomycetaceae	Normal
yHMPu5000035279_Tortispora_starmeri	Trigonopsidaceae	Normal
yHMPu5000035282_Trigonopsis_vinaria	Trigonopsidaceae	Normal
yHMPu5000035286_Candida_azyma	Phaffomycetaceae	Normal
yHMPu5000035296_Priceomyces_carsonii	CUG-Ser1	Normal
yHMPu5000035297_Priceomyces_castillae	CUG-Ser1	Normal
yHMPu5000035301_Pichia_terricola	Pichiaceae	Normal
yHMPu5000035302_Candida_fragi	CUG-Ser1	Normal
yHMPu5000035318_Hyphopichia_heimii	CUG-Ser1	Normal
yHMPu5000035325_Cyberlindnera_petersonii	Phaffomycetaceae	Normal
yHMPu5000035335_Candida_blattae	CUG-Ser1	Normal
yHMPu5000035629_Yueomyces_sinensis	Saccharomycetaceae	Normal
yHMPu5000035633_Candida_hispaniensis	Dipodascaceae/Trichomonascaceae	Lipid
yHMPu5000035639_Wickerhamomyces_canadensis	Phaffomycetaceae	Normal
yHMPu5000035640_Yamadazyma_philogaea	CUG-Ser1	Normal
yHMPu5000035641_Yamadazyma_scolyti	CUG-Ser1	Normal
yHMPu5000035643_Yarrowia_bubula	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035645_Yarrowia_divulgata	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035650_Trigonopsis_variabilis	Trigonopsidaceae	Normal
yHMPu5000035651_Torulaspora_microellipsoides	Saccharomycetaceae	Normal
yHMPu5000035652_Torulaspora_maleeae	Saccharomycetaceae	Lipid
yHMPu5000035654_Tortispora_ganteri	Trigonopsidaceae	Normal
yHMPu5000035658_Starmera_amethionina	Phaffomycetaceae	Normal
yHMPu5000035659_Saturnispora_dispora	Pichiaceae	Normal
yHMPu5000035662_Meyerozyma_caribbica	CUG-Ser1	Lipid
yHMPu5000035665_Middelhovenomyces_tepae	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035667_Kurtzmaniella_cleridarum	CUG-Ser1	Lipid
yHMPu5000035670_Phaffomyces_opuntiae	Phaffomycetaceae	Normal
yHMPu5000035671_Phaffomyces_antillensis	Phaffomycetaceae	Normal
yHMPu5000035672_Phaffomyces_thermotolerans	Phaffomycetaceae	Normal
yHMPu5000035673_Candida_orba	Phaffomycetaceae	Normal
yHMPu5000035674_Kregervanrija_delftensis	Pichiaceae	Normal
yHMPu5000035675_Kregervanrija_fluxuum	Pichiaceae	Normal
yHMPu5000035677_Kodamaea_ohmeri	CUG-Ser1	Lipid
yHMPu5000035679_Candida_rhagii	CUG-Ser1	Normal
yHMPu5000035681_Candida_gotoi	CUG-Ser1	Normal
yHMPu5000035684_Kloeckera_hatyaiensis	Saccharomycodaceae	Normal
yHMPu5000035686_Cyberlindnera_saturnus	Phaffomycetaceae	Normal
yHMPu5000035687_Cyberlindnera_suaveolens	Phaffomycetaceae	Normal
yHMPu5000035688_Cyberlindnera_xylosilytica	Phaffomycetaceae	Normal
yHMPu5000035689_Candida_mycetangii	Phaffomycetaceae	Normal
yHMPu5000035690_Candida_vartiovaarae	Phaffomycetaceae	Normal
yHMPu5000035691_Candida_salmanticensis	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii	Saccharomycodaceae	Normal
yHMPu5000035696_Hanseniaspora_singularis	Saccharomycodaceae	Normal
yHMPu5000035699_Cyberlindnera_maclurae	Phaffomycetaceae	Normal
yHMPu5000035703_Cyberlindnera_americana	Phaffomycetaceae	Normal
yHMPu5000035707_Candida_heveicola	CUG-Ser1	Normal
yHMPu5000041678_Debaryomyces_prosopidis	CUG-Ser1	Normal
yHMPu5000041693_Debaryomyces_nepalensis	CUG-Ser1	Lipid
yHMPu5000041713_Debaryomyces_maramus	CUG-Ser1	Normal
yHMPu5000041743_Candida_hawaiiana	CUG-Ser1	Normal
yHMPu5000041818_Magnusiomyces_tetrasperma	Dipodascaceae/Trichomonascaceae	Heat
yHMPu5000041822_Dipodascus_geniculatus	Dipodascaceae/Trichomonascaceae	Normal
yHMPu5000041824_Debaryomyces_subglobosus	CUG-Ser1	Normal
yHMPu5000041829_Debaryomyces_fabryi	CUG-Ser1	Lipid
yHMPu5000041833_Candida_tammaniensis	CUG-Ser1	Normal
yHMPu5000041840_Candida_wancherniae	CUG-Ser1	Normal
yHMPu5000041855_Candida_ascalaphidarum	CUG-Ser1	Normal
yHMPu5000041862_Candida_golubevii	CUG-Ser1	Normal
yHMPu5000041863_Candida_gorgasii	CUG-Ser1	Normal
